metric,value
format,MoonSimRockfieldAnalysis
crater_zone_settings.source,rock settings: rock_settings.json
crater_zone_settings.values.interior_r_min,0.2
crater_zone_settings.values.interior_r_max,0.85
crater_zone_settings.values.rim_r_min,0.85
crater_zone_settings.values.rim_r_max,1.2
crater_zone_settings.values.proximal_r_min,1.2
crater_zone_settings.values.proximal_r_max,3.0
crater_zone_settings.values.distal_r_min,3.0
crater_zone_settings.values.distal_r_max,8.0
crater_zone_settings.values.min_source_crater_diameter_meters,3.0
source_crater_figure.minimum_source_crater_diameter_m,5.0
source_crater_figure.selected_crater_owned_rock_count,822
source_crater_figure.source_crater_counts.5,2
source_crater_figure.source_crater_counts.12,4
source_crater_figure.source_crater_counts.15,3
source_crater_figure.source_crater_counts.24,7
source_crater_figure.source_crater_counts.41,5
source_crater_figure.source_crater_counts.54,3
source_crater_figure.source_crater_counts.59,2
source_crater_figure.source_crater_counts.69,7
source_crater_figure.source_crater_counts.76,3
source_crater_figure.source_crater_counts.95,4
source_crater_figure.source_crater_counts.133,3
source_crater_figure.source_crater_counts.135,3
source_crater_figure.source_crater_counts.141,7
source_crater_figure.source_crater_counts.149,10
source_crater_figure.source_crater_counts.166,16
source_crater_figure.source_crater_counts.185,3
source_crater_figure.source_crater_counts.230,3
source_crater_figure.source_crater_counts.259,7
source_crater_figure.source_crater_counts.260,4
source_crater_figure.source_crater_counts.276,20
source_crater_figure.source_crater_counts.291,3
source_crater_figure.source_crater_counts.313,14
source_crater_figure.source_crater_counts.325,4
source_crater_figure.source_crater_counts.328,9
source_crater_figure.source_crater_counts.342,6
source_crater_figure.source_crater_counts.351,21
source_crater_figure.source_crater_counts.352,20
source_crater_figure.source_crater_counts.355,5
source_crater_figure.source_crater_counts.375,19
source_crater_figure.source_crater_counts.386,5
source_crater_figure.source_crater_counts.387,4
source_crater_figure.source_crater_counts.405,6
source_crater_figure.source_crater_counts.409,5
source_crater_figure.source_crater_counts.421,8
source_crater_figure.source_crater_counts.463,18
source_crater_figure.source_crater_counts.487,6
source_crater_figure.source_crater_counts.490,5
source_crater_figure.source_crater_counts.491,15
source_crater_figure.source_crater_counts.505,7
source_crater_figure.source_crater_counts.519,15
source_crater_figure.source_crater_counts.530,6
source_crater_figure.source_crater_counts.531,7
source_crater_figure.source_crater_counts.546,12
source_crater_figure.source_crater_counts.556,9
source_crater_figure.source_crater_counts.580,9
source_crater_figure.source_crater_counts.598,54
source_crater_figure.source_crater_counts.629,6
source_crater_figure.source_crater_counts.647,8
source_crater_figure.source_crater_counts.654,10
source_crater_figure.source_crater_counts.667,9
source_crater_figure.source_crater_counts.674,15
source_crater_figure.source_crater_counts.686,12
source_crater_figure.source_crater_counts.690,6
source_crater_figure.source_crater_counts.705,16
source_crater_figure.source_crater_counts.722,13
source_crater_figure.source_crater_counts.724,7
source_crater_figure.source_crater_counts.731,7
source_crater_figure.source_crater_counts.735,13
source_crater_figure.source_crater_counts.737,12
source_crater_figure.source_crater_counts.739,7
source_crater_figure.source_crater_counts.755,8
source_crater_figure.source_crater_counts.766,117
source_crater_figure.source_crater_counts.777,38
source_crater_figure.source_crater_counts.781,8
source_crater_figure.source_crater_counts.785,29
source_crater_figure.source_crater_counts.786,12
source_crater_figure.source_crater_counts.787,8
source_crater_figure.source_crater_counts.793,6
source_crater_figure.source_crater_counts.795,13
source_crater_figure.source_crater_counts.803,21
source_crater_figure.source_crater_counts.816,13
